Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
81,tt1865425,2020-08-27,2020-08-27,,"Kumaré","Kumaré",https://www.imdb.com/title/tt1865425/,Movie,7.5,84,2011,"Documentary",5231,2011-03-13,"Vikram Gandhi",7,2020-08-27
82,tt5895028,2020-08-29,2020-08-29,,"13th","13th",https://www.imdb.com/title/tt5895028/,Movie,8.2,100,2016,"Documentary, Crime, History",37993,2016-10-07,"Ava DuVernay",8,2020-08-29
83,tt11817212,2020-09-01,2020-09-01,,"Frontline: Amazon Empire: The Rise and Reign of Jeff Bezos","Frontline: Amazon Empire: The Rise and Reign of Jeff Bezos",https://www.imdb.com/title/tt11817212/,TV Episode,7.6,115,2020,"Documentary, News",418,2020-02-18,"James Jacoby",7,2020-09-01
84,tt5320696,2020-09-07,2020-09-07,,"Frontline: Netanyahu at War","Frontline: Netanyahu at War",https://www.imdb.com/title/tt5320696/,TV Episode,7.9,113,2016,"Documentary, News",109,2016-01-05,"Michael Kirk",8,2020-09-07
85,tt3418078,2020-09-14,2020-09-14,,"Human, All Too Human","Human, All Too Human",https://www.imdb.com/title/tt3418078/,TV Mini Series,7.5,147,1999,"Documentary, Biography",111,1999,,7,2020-09-14
86,tt1638939,2020-10-09,2020-10-09,,"Tsunami: Caught on Camera","Tsunami: Caught on Camera",https://www.imdb.com/title/tt1638939/,TV Movie,8.1,90,2009,"Documentary",305,2009-12-30,"Janice Sutherland",7,2020-10-09
87,tt12923630,2020-10-12,2020-10-12,,"Bad Boy Billionaires: India","Bad Boy Billionaires: India",https://www.imdb.com/title/tt12923630/,TV Series,7.9,59,2020,"Documentary, Biography, Crime",3461,2020-09-02,,8,2020-10-12
88,tt11464826,2020-10-26,2020-10-26,,"The Social Dilemma","The Social Dilemma",https://www.imdb.com/title/tt11464826/,Movie,7.6,94,2020,"Documentary, Drama",90527,2020-09-09,"Jeff Orlowski-Yang",9,2020-10-26
89,tt0066580,2020-11-02,2020-11-02,,"Woodstock","Woodstock",https://www.imdb.com/title/tt0066580/,Movie,8.1,184,1970,"Documentary, History, Music",18676,1970-03-26,"Michael Wadleigh",10,2020-11-02
90,tt9185816,2020-11-02,2020-11-02,,"Woodstock: Three Days That Defined a Generation","Woodstock",https://www.imdb.com/title/tt9185816/,Movie,7.6,106,2019,"Documentary, History",2010,2019-07-31,"Barak Goodman, Jamila Ephron",7,2020-11-02
91,tt1465510,2020-12-20,2020-12-20,,"Terror in Mumbai","Terror in Mumbai",https://www.imdb.com/title/tt1465510/,TV Movie,7.4,,2009,"Documentary",294,2009-11-19,"Dan Reed, Ashwin Neal Mani",9,2020-12-20
92,tt14512938,2021-05-16,2021-05-16,,"Alma Matters: Inside the IIT Dream","Alma Matters: Inside the IIT Dream",https://www.imdb.com/title/tt14512938/,TV Mini Series,8.2,50,2021,"Documentary",2444,2021-05-14,,7,2021-05-16
93,tt8297550,2021-05-20,2021-05-20,,"M.C. Escher: Journey to Infinity","Escher: Het oneindige zoeken",https://www.imdb.com/title/tt8297550/,Movie,7.2,81,2018,"Documentary",612,2018-04-12,"Robin Lutz",7,2021-05-20
94,tt11095742,2021-07-21,2021-07-21,,"Boys State","Boys State",https://www.imdb.com/title/tt11095742/,Movie,7.6,109,2020,"Documentary",5861,2020-08-14,"Amanda McBaine, Jesse Moss",8,2021-07-21
95,tt0278736,2021-08-02,2021-08-02,,"Stanley Kubrick: A Life in Pictures","Stanley Kubrick: A Life in Pictures",https://www.imdb.com/title/tt0278736/,Movie,8.0,142,2001,"Documentary, Biography",12267,2001-05-02,"Jan Harlan",8,2021-08-02
96,tt10793982,2021-08-28,2021-08-28,,"Desert One","Desert One",https://www.imdb.com/title/tt10793982/,Movie,7.3,107,2019,"Documentary, History, War",355,2020-08-21,"Barbara Kopple",7,2021-08-28
97,tt12888462,2021-10-28,2021-10-28,,"My Octopus Teacher","My Octopus Teacher",https://www.imdb.com/title/tt12888462/,Movie,8.1,85,2020,"Documentary, Drama",65403,2020-09-07,"Pippa Ehrlich, James Reed",8,2021-10-28
98,tt4464508,2021-11-19,2021-11-19,,"Insha'Allah Democracy","Insha'Allah Democracy",https://www.imdb.com/title/tt4464508/,Movie,7.3,85,2017,"Documentary, Comedy, History, News",134,2017-11-12,"Mohammed Ali Naqvi",7,2021-11-19
99,tt0425458,2021-12-01,2021-12-01,,"Six Shooter","Six Shooter",https://www.imdb.com/title/tt0425458/,Short,7.4,27,2004,"Short, Comedy, Drama",14537,2005-02,"Martin McDonagh",8,2021-12-01
100,tt8430054,2022-03-20,2022-03-20,,"Flee","Flugt",https://www.imdb.com/title/tt8430054/,Movie,7.9,89,2021,"Documentary, Animation, Biography, Drama",19918,2021-06-17,"Jonas Poher Rasmussen",7,2022-03-20
101,tt0425200,2022-04-09,2022-04-09,,"Little Terrorist","Little Terrorist",https://www.imdb.com/title/tt0425200/,Short,7.1,15,2004,"Drama, Short",714,2004-10-25,"Ashvin Kumar",7,2022-04-09
102,tt0075732,2022-04-09,2022-04-09,,"The Bead Game","The Bead Game",https://www.imdb.com/title/tt0075732/,Short,7.1,6,1977,"Animation, Short, Comedy, Family, Fantasy, Music, War",711,1977,"Ishu Patel",8,2022-04-09
