Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,CoverLink,Year
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",5,4.36,Sceptre,Hardcover,342,2018,2018,2020/07/17,2020/06/14,,,read,,,,1,0,1544963815l,2020
23182182,The Symposium,Plato,"Plato, Plato",Benjamin Jowett,"=""1501013378""","=""9781501013379""",4,4.09,Createspace Independent Publishing Platform,Paperback,102,2014,-380,2019/11/01,2019/11/01,,,read,,,,1,0,1677811292l,2019
9858119,When Prophecy Fails,Leon Festinger,"Festinger, Leon","Henry W. Riecken, Stanley Schachter, Elliot Aronson","=""1905177763""","=""9781905177769""",4,3.82,,Kindle Edition,274,,1956,2020/07/12,2020/07/11,,,read,,,,1,0,1328365354l,2020
413287,THE MAHATMA AND THE POET,Sabyasachi Bhattacharya,"Bhattacharya, Sabyasachi",,"=""8123722028""","=""9788123722023""",4,4.29,National Book Trust,Paperback,216,1997,1997,2020/07/09,2020/07/10,,,read,,,,1,0,1535891441l,2020
19090273,The Nicomachean Ethics,Aristotle,"Aristotle, Aristotle","William David Ross, Lesley Brown","=""0191607460""","=""""",3,3.99,OUP Oxford,Kindle Edition,1009,2009,-350,2020/07/10,2020/07/10,,,read,,,,1,0,1385938646l,2020
17098,Isaac Newton,James Gleick,"Gleick, James",,"=""1400032954""","=""9781400032952""",3,3.79,Vintage,Paperback,272,2004,2003,2020/06/15,2020/04/12,,,read,,,,1,0,1386745732l,2020
7877839,History of Medieval India,Satish Chandra,"Chandra, Satish",,"=""8125032266""","=""9788125032267""",3,3.93,Orient Blackswan,Paperback,415,2007,2007,2020/06/12,2020/06/12,,,read,,,,1,0,1377115123l,2020
37506348,Winners Take All: The Elite Charade of Changing the World,Anand Giridharadas,"Giridharadas, Anand",,"=""0451493249""","=""9780451493248""",4,4.13,Knopf,Hardcover,288,2018,2018,2020/06/10,2020/06/10,,,read,"A very original (or so it seemed to me) and piercing analysis of the structural causes of social issues such as inequality and poverty. And an exposé of the superficial solutions ubiquitous in today's world disguised as noble actions within the capitalist and free market framework. The following quote in the opening sums up the angle in which the book's arguments flow - <br/><blockquote>“Just as the worst slave-owners were those who were kind to their slaves, and so prevented the horror of the system being realised by those who suffered from it, and understood by those who contemplated it, so, in the present state of things in England, the people who do most harm are the people who try to do most good.” - Oscar Wilde</blockquote><br/>After warming up in the first few chapters Anand aims his guns directly at three key players - Thought Leaders (of TED, Davos fame), Management Consultants (of McKinsey, BCG, Bain fame) and Philonthropists (of Clinton Global Initiatives, Ford Foundation fame). What is more like a disclaimer about himself is hidden at the end in Acknowledgements where Anand discloses that he has worked in all the three aforementioned sectors (TED, McKinsey and Aspen Institute). The only inadequacy I felt in the book is about insufficient emphasis on the solutions or the way forward. But asking for it may be ironic as in his attack of Thought Leaders he mentions how critics without solutions are voiced down over the noise of optimistic (but unrealistic) solutions of the Thought Leaders. Thus this book is more of a critical work. The following quote from the book provides further justification -<br/><blockquote>As I read Thomas Piketty’s masterpiece, Capital in the Twenty-First Century, I came upon a line that brought the purpose of my own book into focus. “Whether such extreme inequality is or is not sustainable,” Piketty writes, “depends not only on the effectiveness of the repressive apparatus but also, and perhaps primarily, on the effectiveness of the apparatus of justification.” That day I decided my book would be an inquiry into the apparatus of justification.</blockquote>",,,1,0,1528750369l,2020
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",3,4.12,Harper,Mass Market Paperback,417,2003,1967,2020/06/02,2020/05/04,,,read,,,,1,0,1327881361l,2020
40961427,1984,George Orwell,"Orwell, George",,"=""""","=""""",3,4.19,Houghton Mifflin Harcourt,Kindle Edition,298,2013,1949,2020/05/27,2020/05/27,,,read,,,,1,0,1532714506l,2020
18736925,Capital in the Twenty First Century,Thomas Piketty,"Piketty, Thomas",Arthur Goldhammer,"=""067443000X""","=""9780674430006""",0,4.06,Belknap Press: An Imprint of Harvard University Press,Hardcover,685,2014,2013,,2020/05/25,to-read,to-read (#24),to-read,,,,0,0,#N/A,Err:502
119837,Survival of the Sickest: A Medical Maverick Discovers Why We Need Disease,Sharon  Moalem,"Moalem, Sharon",Jonathan Prince,"=""""","=""""",3,4.14,William Morrow,Hardcover,267,2007,2007,2020/05/25,2018/02/22,,,read,,,,1,0,1703435157l,2020
1035312,Spy Princess: The Life of Noor Inayat Khan,Shrabani Basu,"Basu, Shrabani",,"=""0750939656""","=""9780750939652""",0,3.98,Sutton,Paperback,256,2006,2006,,2020/05/20,to-read,to-read (#23),to-read,,,,0,0,#N/A,Err:502
1173481,India's Ancient Past,R.S. Sharma,"Sharma, R.S.",,"=""019566714X""","=""9780195667141""",5,4.13,Oxford University Press,Hardcover,400,2006,2005,2020/05/19,2020/05/19,,,read,,,,1,0,1181634060l,2020
38318462,Poonachi: Or the Story of a Black Goat,Perumal Murugan,"Murugan, Perumal",N. Kalyan Raman,"=""""","=""""",3,4.1,Context,Kindle Edition,179,2018,2018,2020/05/15,2020/05/15,,,read,,,,1,0,1517463079l,2020
51014619,Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""""","=""""",4,4.22,PublicAffairs,Kindle Edition,417,2019,2019,2020/05/14,2020/05/13,,,read,,,,1,0,1562348201l,2020
6775902,Candide,Voltaire,"Voltaire, Voltaire",,"=""""","=""""",4,3.76,Fictionwise Classic,Kindle Edition,128,2003,1759,2020/05/08,2020/05/02,,,read,,,,1,0,1504606659l,2020
